Data,Série,Valor
Dec 2009,M3,2196.530424
Jan 2010,M3,2322.483632
Feb 2010,M3,2331.431779
Mar 2010,M3,2363.486147
Apr 2010,M3,2371.436991
May 2010,M3,2402.387178
Jun 2010,M3,2429.332137
Jul 2010,M3,2470.349066
Aug 2010,M3,2519.67685
Sep 2010,M3,2567.99914
Oct 2010,M3,2620.660155
Nov 2010,M3,2643.539508
Dec 2010,M3,2681.421355
Jan 2011,M3,2692.091783
Feb 2011,M3,2746.372688
Mar 2011,M3,2774.165612
Apr 2011,M3,2802.61421
May 2011,M3,2837.176945
Jun 2011,M3,2859.691238
Jul 2011,M3,2917.116204
Aug 2011,M3,2973.056786
Sep 2011,M3,3009.561825
Oct 2011,M3,3033.171871
Nov 2011,M3,3058.534253
Dec 2011,M3,3126.468029
Jan 2012,M3,3183.704028
Feb 2012,M3,3215.823078
Mar 2012,M3,3280.594773
Apr 2012,M3,3311.417702
May 2012,M3,3358.168535
Jun 2012,M3,3378.112765
Jul 2012,M3,3428.574172
Aug 2012,M3,3486.156088
Sep 2012,M3,3509.444353
Oct 2012,M3,3560.256027
Nov 2012,M3,3595.180344
Dec 2012,M3,3609.680508
Jan 2013,M3,3641.468977
Feb 2013,M3,3656.344131
Mar 2013,M3,3690.666043
Apr 2013,M3,3718.643709
May 2013,M3,3763.267815
Jun 2013,M3,3781.611175
Jul 2013,M3,3814.726306
Aug 2013,M3,3834.189886
Sep 2013,M3,3856.984371
Oct 2013,M3,3885.993526
Nov 2013,M3,3897.745977
Dec 2013,M3,3947.967099
Jan 2014,M3,3956.852345
Feb 2014,M3,3973.241537
Mar 2014,M3,3987.162587
Apr 2014,M3,4024.128054
May 2014,M3,4071.2381
Jun 2014,M3,4101.325335
Jul 2014,M3,4169.70024
Aug 2014,M3,4271.481439
Sep 2014,M3,4306.043943
Oct 2014,M3,4349.931096
Nov 2014,M3,4390.07419
Dec 2014,M3,4438.289475
Jan 2015,M3,4446.980401
Feb 2015,M3,4446.708674
Mar 2015,M3,4475.838274
Apr 2015,M3,4493.113529
May 2015,M3,4554.350444
Jun 2015,M3,4563.586143
Jul 2015,M3,4597.352502
Aug 2015,M3,4591.457079
Sep 2015,M3,4636.253676
Oct 2015,M3,4677.523145
Nov 2015,M3,4716.993314
Dec 2015,M3,4854.978073
Jan 2016,M3,4829.018658
Feb 2016,M3,4884.235641
Mar 2016,M3,4953.973835
Apr 2016,M3,4975.614007
May 2016,M3,5008.017964
Jun 2016,M3,5042.395159
Jul 2016,M3,5093.742194
Aug 2016,M3,5158.943154
Sep 2016,M3,5205.671446
Oct 2016,M3,5228.485955
Nov 2016,M3,5264.955221
Dec 2016,M3,5370.570893
Jan 2017,M3,5403.067549
Feb 2017,M3,5428.196722
Mar 2017,M3,5507.791836
Apr 2017,M3,5474.967657
May 2017,M3,5495.565318
Jun 2017,M3,5518.949598
Jul 2017,M3,5543.482574
Aug 2017,M3,5626.754248
Sep 2017,M3,5677.639428
Oct 2017,M3,5711.202165
Nov 2017,M3,5713.739945
Dec 2017,M3,5770.354874
Jan 2018,M3,5774.73469
Feb 2018,M3,5800.302433
Mar 2018,M3,5858.214642
Apr 2018,M3,5862.418608
May 2018,M3,5875.957544
Jun 2018,M3,5937.930939
Jul 2018,M3,5952.652635
Aug 2018,M3,6051.069562
Sep 2018,M3,6107.351558
Oct 2018,M3,6137.916038
Nov 2018,M3,6150.787765
Dec 2018,M3,6327.699486
Jan 2019,M3,6247.917656
Feb 2019,M3,6261.466804
Mar 2019,M3,6316.011118
Apr 2019,M3,6329.039326
May 2019,M3,6413.435285
Jun 2019,M3,6462.18563
Jul 2019,M3,6514.14798
Aug 2019,M3,6552.92834
Sep 2019,M3,6646.055953
Oct 2019,M3,6666.13206
Nov 2019,M3,6705.196896
Dec 2019,M3,6813.474032
Jan 2020,M3,6750.42915
Feb 2020,M3,6787.939129
Mar 2020,M3,6874.426696
Apr 2020,M3,7041.714154
May 2020,M3,7210.605349
Jun 2020,M3,7400.929374
Jul 2020,M3,7560.493317
Aug 2020,M3,7689.525475
Sep 2020,M3,7752.745912
Oct 2020,M3,7779.277851
Nov 2020,M3,7814.614066
Dec 2020,M3,8041.803209
Dec 2001,M4,752.263393
Jan 2002,M4,754.307152
Feb 2002,M4,753.801974
Mar 2002,M4,758.774257
Apr 2002,M4,761.658308
May 2002,M4,762.389232
Jun 2002,M4,766.298588
Jul 2002,M4,767.858197
Aug 2002,M4,762.569898
Sep 2002,M4,771.166619
Oct 2002,M4,782.406103
Nov 2002,M4,791.89209
Dec 2002,M4,800.035851
Jan 2003,M4,810.272451
Feb 2003,M4,815.745074
Mar 2003,M4,820.859498
Apr 2003,M4,823.489095
May 2003,M4,833.412205
Jun 2003,M4,840.397699
Jul 2003,M4,856.697017
Aug 2003,M4,871.21077
Sep 2003,M4,888.610164
Oct 2003,M4,894.33359
Nov 2003,M4,921.918579
Dec 2003,M4,953.804538
Jan 2004,M4,968.637026
Feb 2004,M4,981.337578
Mar 2004,M4,989.838137
Apr 2004,M4,995.559726
May 2004,M4,1012.425016
Jun 2004,M4,1024.499285
Jul 2004,M4,1038.909105
Aug 2004,M4,1047.129333
Sep 2004,M4,1061.114243
Oct 2004,M4,1072.347469
Nov 2004,M4,1087.722745
Dec 2004,M4,1104.058299
Jan 2005,M4,1108.249718
Feb 2005,M4,1124.314202
Mar 2005,M4,1145.318592
Apr 2005,M4,1152.572654
May 2005,M4,1161.520593
Jun 2005,M4,1174.288144
Jul 2005,M4,1195.82049
Aug 2005,M4,1213.930778
Sep 2005,M4,1234.582849
Oct 2005,M4,1243.711933
Nov 2005,M4,1267.334878
Dec 2005,M4,1298.800583
Jan 2006,M4,1310.962889
Feb 2006,M4,1330.324436
Mar 2006,M4,1338.58292
Apr 2006,M4,1344.867247
May 2006,M4,1368.336835
Jun 2006,M4,1374.954765
Jul 2006,M4,1396.099933
Aug 2006,M4,1411.523726
Sep 2006,M4,1430.836318
Oct 2006,M4,1449.901658
Nov 2006,M4,1484.533006
Dec 2006,M4,1506.072045
Jan 2007,M4,1529.98088
Feb 2007,M4,1549.641416
Mar 2007,M4,1568.19731
Apr 2007,M4,1603.344646
May 2007,M4,1622.667259
Jun 2007,M4,1648.374413
Jul 2007,M4,1674.030797
Aug 2007,M4,1679.999281
Sep 2007,M4,1755.455817
Oct 2007,M4,1782.867774
Nov 2007,M4,1803.115915
Dec 2007,M4,1827.747528
Jan 2008,M4,1837.638125
Feb 2008,M4,1861.261987
Mar 2008,M4,1882.375451
Apr 2008,M4,1921.808985
May 2008,M4,1958.889483
Jun 2008,M4,1977.271695
