Segmento,Ano,Quantidade
Banco Múltiplo,2004,141
Banco Comercial,2004,25
Banco de Desenvolvimento,2004,4
Caixas Econômicas,2004,1
Banco de Investimento,2004,22
Banco de Câmbio,2004,0
Banco Múltiplo,2005,136
Banco Comercial,2005,23
Banco de Desenvolvimento,2005,4
Caixas Econômicas,2005,1
Banco de Investimento,2005,20
Banco de Câmbio,2005,0
Banco Múltiplo,2006,137
Banco Comercial,2006,22
Banco de Desenvolvimento,2006,4
Caixas Econômicas,2006,1
Banco de Investimento,2006,18
Banco de Câmbio,2006,0
Banco Múltiplo,2007,135
Banco Comercial,2007,21
Banco de Desenvolvimento,2007,4
Caixas Econômicas,2007,1
Banco de Investimento,2007,17
Banco de Câmbio,2007,0
Banco Múltiplo,2008,138
Banco Comercial,2008,21
Banco de Desenvolvimento,2008,4
Caixas Econômicas,2008,1
Banco de Investimento,2008,18
Banco de Câmbio,2008,0
Banco Múltiplo,2009,145
Banco Comercial,2009,19
Banco de Desenvolvimento,2009,4
Caixas Econômicas,2009,1
Banco de Investimento,2009,16
Banco de Câmbio,2009,0
Banco Múltiplo,2010,139
Banco Comercial,2010,20
Banco de Desenvolvimento,2010,4
Caixas Econômicas,2010,1
Banco de Investimento,2010,15
Banco de Câmbio,2010,2
Banco Múltiplo,2011,139
Banco Comercial,2011,21
Banco de Desenvolvimento,2011,4
Caixas Econômicas,2011,1
Banco de Investimento,2011,14
Banco de Câmbio,2011,2
Banco Múltiplo,2012,138
Banco Comercial,2012,23
Banco de Desenvolvimento,2012,4
Caixas Econômicas,2012,1
Banco de Investimento,2012,14
Banco de Câmbio,2012,2
Banco Múltiplo,2013,132
Banco Comercial,2013,23
Banco de Desenvolvimento,2013,4
Caixas Econômicas,2013,1
Banco de Investimento,2013,14
Banco de Câmbio,2013,3
Banco Múltiplo,2014,130
Banco Comercial,2014,22
Banco de Desenvolvimento,2014,4
Caixas Econômicas,2014,1
Banco de Investimento,2014,14
Banco de Câmbio,2014,3
Banco Múltiplo,2015,132
Banco Comercial,2015,21
Banco de Desenvolvimento,2015,4
Caixas Econômicas,2015,1
Banco de Investimento,2015,13
Banco de Câmbio,2015,3
Banco Múltiplo,2016,133
Banco Comercial,2016,21
Banco de Desenvolvimento,2016,4
Caixas Econômicas,2016,1
Banco de Investimento,2016,14
Banco de Câmbio,2016,3
Banco Múltiplo,2017,132
Banco Comercial,2017,21
Banco de Desenvolvimento,2017,4
Caixas Econômicas,2017,1
Banco de Investimento,2017,13
Banco de Câmbio,2017,3
Banco Múltiplo,2018,131
Banco Comercial,2018,20
Banco de Desenvolvimento,2018,4
Caixas Econômicas,2018,1
Banco de Investimento,2018,12
Banco de Câmbio,2018,4
Banco Múltiplo,2019,132
Banco Comercial,2019,20
Banco de Desenvolvimento,2019,4
Caixas Econômicas,2019,1
Banco de Investimento,2019,11
Banco de Câmbio,2019,5
