Balancete/Balanco Geral (Documentos: 4010 - 4016 - 4020 - 4026);;;;;;;;;;;;;;;;
Data de geracao dos dados: 2015-07-09;;;;;;;;;;;;;; R$1.613.183.001.003,61 ;148;
Fonte: Instituicoes financeiras;;;;;;;;;;;; R$183.668.961.079.270,00 ;; R$321.010.000.000,00 ;BCO DO BRASIL S.A.;0,198991683
#DATA_BASE;DOCUMENTO;CNPJ;AGENCIA;NOME_INSTITUICAO;COD_CONGL;NOME_CONGL;TAXONOMIA;CONTA;NOME_CONTA; SALDO ;;;; R$4.534.232.073,00 ;BRB - BCO DE BRASILIA S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;18400001;NEGOCIACAO E INTERMEDIACAO DE VALORES;5985850,57;;;; R$36.931.538,27 ;BANCO AZTECA DO BRASIL S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;18500004;CREDITOS ESPECIFICOS;1156282226;;;; R$469.787.635,50 ;BCO ORIGINAL DO AGRO S/A;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;18800003;DIVERSOS;94121212096;;;; R$161.835.321,70 ;BANCO VIPAL;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;18900006;(-) PROVISOES PARA OUTROS CREDITOS;-1372910805;;;; R$277.338.167,10 ;BCO YAMAHA MOTOR S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;19000008;OUTROS VALORES E BENS;4058151353;;;; R$192.809.716,40 ;BANCO GERADOR S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;19800002;OUTROS VALORES E BENS;116981704,4;;;; R$31.329.044,37 ;BCO DA CHINA BRASIL S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;19900005;DESPESAS ANTECIPADAS;3941169648;;;; R$167,67 ;BANCO SIMPLES S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;20000004;PERMANENTE;37916973930;;;; R$938.878.577,80 ;SCANIA BCO S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;21000003;INVESTIMENTOS;23511038478;;;; R$70.953.830,01 ;BANCO RANDON S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;21100006;INVESTIMENTOS NO EXTERIOR;5343688642;;;; R$1.425.690.043,00 ;BCO DO EST. DE SE S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;21200009;PARTICIPACOES EM COLIGADAS E CONTROLADAS NO PAIS;18145277252;;;; R$1.883.375.489,00 ;PARANA BCO S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;21300002;INVESTIMENTOS POR INCENTIVOS FISCAIS;6766617,83;;;; R$649.853.921,80 ;BCO BBM S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;21400005;TITULOS PATRIMONIAIS;57821,76;;;; R$2.372.711,20 ;BCO CAPITAL S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;21500008;ACOES E COTAS;12494670,83;;;; R$5.603.385.555,00 ;BCO MERCANTIL DO BRASIL S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;21900000;OUTROS INVESTIMENTOS;2753472,77;;;; R$34.917.863.135,00 ;BCO ITAUCARD S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;22000002;IMOBILIZADO DE USO;4983771664;;;; R$41.305.694.417,00 ;BCO ITAò BBA S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;22100005;MOVEIS E EQUIPAMENTOS EM ESTOQUE;4036691,2;;;; R$1.040.867.778,00 ;BCO TRIANGULO S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;22200008;IMOBILIZACOES EM CURSO;215961780,4;;;; R$11.994.674,84 ;BCO BRJ S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;22300001;IMOVEIS DE USO;2283303740;;;; R$3.054.232.181,00 ;BCO BANESTES S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;22400004;INSTALACOES, MOVEIS E EQUIPAMENTOS DE USO;783673127,4;;;; R$612.789.776,70 ;BCO DES. DO ES S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;22900009;OUTROS;1696796325;;;; R$6.090.297.185,00 ;BCO ABC BRASIL S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;23000001;IMOBILIZADO DE ARRENDAMENTO;28644545,14;;;; R$2.406.103,94 ;SCOTIABANK BRASIL;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;23200007;BENS ARRENDADOS - ARRENDAMENTO FINANCEIRO;28644545,14;;;; R$3.746.686.274,00 ;BANCO BTG PACTUAL S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;24000000;DIFERIDO;107171516,7;;;; R$401.461.638,50 ;BCO MODAL S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;24100003;GASTOS DE ORGANIZACAO E EXPANSAO;107171516,7;;;; R$306.588,92 ;BCO CLASSICO S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;25000009;INTANGIVEL;9286347727;;;; R$519.861.880,90 ;BCO GUANABARA S.A.;
201201;4010;0;;BCO DO BRASIL S.A.;;;BANCO DO BRASIL - BANCO MULTIPLO;25100002;ATIVOS INTANGIVEIS;9286347727;;;; R$1.165.622.305,00 ;BCO INDUSTRIAL DO BRASIL S.A.;
