Data;25357 - Indicador de Custo do Crédito - ICC - Recursos direcionados - Total - % a.a.;25358 - Indicador de Custo do Crédito - ICC - Recursos direcionados - Pessoas jurídicas - Total - % a.a.;25359 - Indicador de Custo do Crédito - ICC - Recursos direcionados - Pessoas físicas - Total - % a.a.;27688 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas jurídicas - Crédito rural com taxas de mercado - % a.a.;27689 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas jurídicas - Crédito rural com taxas reguladas - % a.a.;27690 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas jurídicas - Crédito rural total - % a.a.;27691 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas jurídicas - Financiamento imobiliário com taxas de mercado - % a.a.;27692 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas jurídicas - Financiamento imobiliário com taxas reguladas - % a.a.;27693 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas jurídicas - Financiamento imobiliário total - % a.a.;27694 - Indicador de Custo do Crédito - ICC - Recursos Direcionados - Pessoas jurídicas - Capital de giro com recursos do BNDES - % a.a.
05/2014;8,04 ;8,30 ;7,70 ;12,98 ;5,77 ;9,92 ;10,95 ;10,80 ;10,87 ;8,78
06/2014;8,03 ;8,27 ;7,72 ;13,22 ;5,74 ;9,91 ;10,98 ;10,77 ;10,86 ;8,78
07/2014;8,04 ;8,25 ;7,76 ;13,29 ;5,74 ;9,88 ;10,98 ;10,73 ;10,84 ;8,79
08/2014;8,03 ;8,23 ;7,78 ;13,34 ;5,78 ;9,85 ;11,00 ;10,70 ;10,84 ;8,80
09/2014;8,02 ;8,21 ;7,79 ;13,40 ;5,82 ;9,88 ;11,01 ;10,67 ;10,83 ;8,81
10/2014;8,02 ;8,18 ;7,82 ;13,35 ;5,87 ;9,87 ;11,02 ;10,64 ;10,82 ;8,82
11/2014;8,02 ;8,17 ;7,84 ;13,36 ;5,93 ;9,92 ;11,03 ;10,61 ;10,81 ;8,82
12/2014;8,00 ;8,13 ;7,83 ;13,32 ;6,01 ;9,87 ;11,03 ;10,57 ;10,79 ;8,83
01/2015;8,00 ;8,12 ;7,86 ;13,35 ;6,05 ;9,92 ;11,04 ;10,55 ;10,79 ;8,87
02/2015;8,01 ;8,12 ;7,87 ;13,40 ;6,09 ;10,00 ;11,03 ;10,53 ;10,78 ;8,86
03/2015;8,01 ;8,10 ;7,90 ;12,93 ;6,23 ;9,78 ;11,04 ;10,51 ;10,78 ;8,86
04/2015;8,06 ;8,15 ;7,94 ;13,51 ;6,25 ;10,31 ;11,04 ;10,49 ;10,77 ;8,87
05/2015;8,08 ;8,17 ;7,97 ;13,73 ;6,29 ;10,44 ;11,07 ;10,48 ;10,78 ;8,87
06/2015;8,10 ;8,16 ;8,02 ;13,93 ;6,39 ;10,49 ;11,09 ;10,48 ;10,80 ;9,19
07/2015;8,15 ;8,19 ;8,10 ;14,04 ;6,67 ;10,66 ;11,11 ;10,47 ;10,80 ;8,82
08/2015;8,20 ;8,21 ;8,18 ;14,17 ;6,97 ;10,81 ;11,17 ;10,48 ;10,84 ;8,88
09/2015;8,27 ;8,28 ;8,25 ;14,59 ;7,27 ;11,29 ;11,19 ;10,49 ;10,86 ;8,89
10/2015;8,32 ;8,31 ;8,32 ;14,67 ;7,56 ;11,52 ;11,20 ;10,49 ;10,86 ;8,93
11/2015;8,36 ;8,34 ;8,38 ;14,76 ;7,81 ;11,64 ;11,22 ;10,50 ;10,88 ;9,03
12/2015;8,41 ;8,38 ;8,44 ;14,86 ;8,11 ;11,84 ;11,23 ;10,53 ;10,90 ;9,30
01/2016;8,44 ;8,41 ;8,48 ;14,91 ;8,21 ;11,94 ;11,24 ;10,54 ;10,91 ;9,44
02/2016;8,47 ;8,44 ;8,51 ;14,99 ;8,29 ;12,04 ;11,25 ;10,55 ;10,92 ;9,62
03/2016;8,53 ;8,52 ;8,55 ;15,07 ;8,40 ;12,25 ;11,29 ;10,57 ;10,96 ;9,85
04/2016;8,57 ;8,56 ;8,58 ;15,14 ;8,45 ;12,39 ;11,29 ;10,59 ;10,97 ;10,09
05/2016;8,61 ;8,59 ;8,63 ;15,31 ;8,49 ;12,55 ;11,30 ;10,61 ;10,98 ;10,18
06/2016;8,66 ;8,64 ;8,68 ;15,59 ;8,66 ;12,74 ;11,32 ;10,64 ;11,01 ;10,52
07/2016;8,69 ;8,67 ;8,72 ;15,59 ;8,71 ;12,78 ;11,35 ;10,66 ;11,04 ;10,59
08/2016;8,74 ;8,73 ;8,75 ;15,58 ;8,81 ;12,78 ;11,36 ;10,70 ;11,06 ;10,78
