Data;27664 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Cartão de crédito rotativo - % a.a.;27665 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Cartão de crédito parcelado - % a.a.;27666 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Cartão de crédito total - % a.a.;27667 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Adiantamentos sobre contratos de câmbio (ACC) - % a.a.;27668 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Financiamento a importações - % a.a.;27669 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Financiamento a exportações - % a.a.;27670 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas jurídicas - Repasse externo - % a.a.;27671 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Crédito não rotativo - Total - % a.a.;27672 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Cheque especial - % a.a.;27673 - Indicador de Custo do Crédito - ICC - Recursos Livres - Pessoas físicas - Crédito não consignado - % a.a.
01/2014;208,70 ;48,97 ;35,90 ;2,97 ;11,46 ;12,01 ;11,93 ;34,73 ;134,90 ;76,88
02/2014;220,21 ;53,86 ;38,11 ;2,89 ;11,60 ;12,16 ;11,96 ;35,10 ;137,07 ;78,29
03/2014;221,16 ;45,56 ;38,26 ;2,86 ;11,83 ;12,25 ;11,95 ;35,33 ;139,33 ;79,29
04/2014;224,05 ;42,53 ;39,10 ;2,83 ;12,01 ;12,34 ;11,97 ;35,62 ;141,43 ;80,79
05/2014;210,90 ;48,27 ;37,08 ;2,80 ;12,26 ;12,44 ;12,03 ;35,85 ;147,68 ;81,85
06/2014;212,60 ;43,02 ;42,66 ;2,87 ;12,41 ;12,45 ;12,11 ;36,05 ;150,48 ;83,11
07/2014;210,66 ;39,07 ;38,46 ;2,86 ;12,57 ;12,49 ;12,00 ;36,24 ;152,44 ;84,34
08/2014;210,93 ;53,18 ;40,19 ;2,84 ;12,75 ;12,60 ;11,99 ;36,45 ;153,24 ;85,40
09/2014;210,01 ;36,21 ;37,42 ;2,84 ;13,12 ;12,61 ;12,00 ;36,60 ;159,80 ;86,13
10/2014;214,59 ;42,02 ;37,07 ;2,79 ;13,34 ;12,69 ;12,05 ;36,73 ;163,17 ;87,36
11/2014;213,07 ;41,65 ;39,04 ;2,80 ;13,53 ;12,82 ;12,05 ;36,85 ;166,31 ;88,40
12/2014;210,81 ;46,09 ;39,99 ;2,77 ;13,78 ;12,97 ;12,11 ;36,79 ;174,61 ;89,25
01/2015;207,81 ;42,94 ;41,14 ;2,66 ;13,81 ;13,09 ;12,12 ;37,10 ;181,34 ;90,58
02/2015;204,98 ;47,95 ;44,43 ;2,67 ;14,06 ;13,15 ;12,15 ;37,44 ;185,97 ;91,73
03/2015;211,57 ;43,88 ;41,49 ;2,68 ;14,25 ;13,31 ;12,24 ;37,77 ;191,29 ;92,82
04/2015;214,38 ;37,74 ;42,93 ;2,67 ;14,08 ;13,41 ;12,26 ;38,16 ;196,50 ;94,34
05/2015;221,53 ;39,01 ;45,24 ;2,63 ;14,24 ;13,44 ;12,24 ;38,51 ;202,34 ;95,64
06/2015;228,96 ;44,51 ;46,49 ;2,65 ;14,55 ;13,72 ;12,27 ;38,87 ;209,69 ;96,89
07/2015;245,95 ;45,01 ;48,10 ;2,66 ;14,92 ;13,85 ;12,29 ;39,18 ;213,84 ;98,18
08/2015;250,20 ;40,88 ;48,94 ;2,68 ;15,25 ;13,94 ;12,31 ;39,55 ;218,92 ;99,61
09/2015;277,50 ;43,54 ;52,03 ;2,73 ;15,53 ;14,09 ;12,32 ;39,87 ;228,91 ;100,84
10/2015;283,64 ;47,28 ;54,28 ;2,75 ;15,83 ;14,24 ;12,33 ;40,24 ;241,50 ;102,56
11/2015;288,58 ;36,86 ;55,81 ;2,84 ;15,63 ;14,31 ;12,37 ;40,54 ;247,79 ;103,61
12/2015;299,93 ;36,08 ;54,18 ;2,99 ;15,62 ;14,52 ;12,39 ;40,73 ;251,08 ;104,42
01/2016;303,34 ;37,44 ;59,39 ;3,10 ;15,81 ;14,59 ;12,38 ;41,00 ;255,95 ;105,23
02/2016;308,66 ;34,27 ;63,47 ;3,21 ;15,84 ;14,71 ;12,43 ;41,31 ;255,87 ;106,27
03/2016;328,23 ;33,61 ;63,53 ;3,32 ;15,69 ;14,76 ;12,42 ;41,75 ;263,00 ;107,69
