Data;1848 - Recolhimentos obrigatórios de instituições financeiras - Depósitos de poupança em espécie (remunerados) - u.m.c. (mil);1849 - Recolhimentos obrigatórios de instituições financeiras - Recursos à vista em espécie (não remunerados) - u.m.c. (mil);1850 - Recolhimentos obrigatórios de instituições financeiras - Depósitos a prazo em espécie (remunerados) - u.m.c. (mil);17633 - Recolhimentos obrigatórios de instituições financeiras - Saldo total - u.m.c. (mil)
02/2009;51.812.000 ;51.771.000 ;0 ;172.504.000
03/2009;51.893.000 ;53.289.000 ;0 ;174.924.000
04/2009;52.384.000 ;61.665.000 ;0 ;183.792.000
05/2009;52.597.000 ;49.150.000 ;0 ;173.502.000
06/2009;53.150.000 ;53.967.000 ;0 ;179.472.000
07/2009;54.530.000 ;48.683.000 ;0 ;175.810.000
08/2009;55.583.000 ;48.211.000 ;0 ;176.819.000
09/2009;56.732.000 ;55.398.000 ;0 ;185.979.000
10/2009;57.046.000 ;55.433.900 ;0 ;186.209.600
11/2009;57.781.000 ;60.819.000 ;0 ;191.672.000
12/2009;60.009.000 ;57.657.000 ;0 ;193.633.000
01/2010;61.271.000 ;56.012.000 ;0 ;193.202.000
02/2010;61.577.000 ;56.493.000 ;0 ;195.040.000
03/2010;61.993.000 ;58.277.000 ;0 ;233.151.000
04/2010;62.688.000 ;56.874.000 ;59.913.000 ;270.675.000
05/2010;63.260.000 ;59.742.000 ;61.139.000 ;275.598.000
06/2010;64.175.000 ;60.330.000 ;62.273.000 ;279.479.000
07/2010;66.276.000 ;60.337.000 ;65.017.000 ;285.588.000
08/2010;67.517.000 ;68.064.000 ;65.246.000 ;295.479.000
09/2010;68.769.000 ;67.542.000 ;68.348.000 ;301.260.000
10/2010;69.474.000 ;69.943.000 ;69.502.000 ;307.243.000
11/2010;70.314.000 ;68.677.000 ;73.783.000 ;313.528.000
12/2010;72.185.000 ;83.226.000 ;104.151.000 ;395.283.000
01/2011;73.163.382 ;80.350.197 ;110.338.000 ;404.113.445
02/2011;73.293.415 ;74.990.154 ;111.945.000 ;400.495.720
03/2011;73.742.899 ;71.575.256 ;113.711.000 ;400.885.493
04/2011;74.077.845 ;64.619.909 ;116.786.000 ;398.923.143
05/2011;74.095.056 ;69.425.040 ;117.283.725 ;404.495.920
06/2011;74.468.252 ;81.506.620 ;118.332.422 ;418.573.020
07/2011;76.228.440 ;70.147.512 ;122.637.763 ;416.229.870
08/2011;77.516.831 ;66.752.810 ;126.588.000 ;420.789.752
09/2011;78.867.773 ;71.815.456 ;131.496.809 ;434.701.215
10/2011;79.417.994 ;70.272.118 ;134.790.224 ;440.218.714
11/2011;80.305.626 ;61.817.831 ;133.986.035 ;432.485.147
12/2011;80.713.232 ;79.526.272 ;130.616.900 ;448.542.346
01/2012;82.014.890 ;89.167.168 ;122.253.998 ;445.995.547
02/2012;82.082.586 ;70.409.247 ;111.804.725 ;411.993.138
03/2012;82.840.201 ;81.954.870 ;100.551.000 ;407.741.349
04/2012;83.630.513 ;70.080.178 ;97.708.971 ;393.022.715
05/2012;85.087.602 ;68.332.378 ;96.358.371 ;393.041.552
06/2012;86.306.186 ;72.806.508 ;91.800.876 ;395.009.220
07/2012;88.168.507 ;75.064.184 ;87.456.841 ;383.431.755
08/2012;89.799.452 ;73.456.550 ;86.322.991 ;382.024.005
09/2012;91.226.249 ;68.385.395 ;72.789.751 ;365.373.730
10/2012;92.494.262 ;70.229.520 ;69.276.926 ;352.569.766
11/2012;93.318.599 ;71.222.187 ;67.794.303 ;345.190.223
12/2012;95.569.420 ;76.694.633 ;64.600.896 ;348.514.650
01/2013;97.035.775 ;76.907.060 ;66.022.195 ;353.236.681
02/2013;97.395.936 ;68.717.234 ;65.613.763 ;345.286.860
03/2013;98.870.475 ;68.922.878 ;65.470.516 ;346.480.422
04/2013;100.176.996 ;72.148.462 ;64.088.869 ;348.624.385
05/2013;101.443.781 ;61.551.792 ;64.472.524 ;340.127.009
06/2013;103.048.622 ;75.727.378 ;68.010.822 ;361.862.915
07/2013;106.681.241 ;68.670.039 ;68.920.485 ;360.602.964
08/2013;108.612.082 ;65.930.852 ;68.802.996 ;360.619.457
09/2013;110.726.709 ;80.920.411 ;67.258.800 ;374.172.100
10/2013;111.718.422 ;63.304.977 ;67.284.235 ;357.656.504
11/2013;113.366.094 ;61.884.038 ;70.604.792 ;362.894.138
12/2013;116.213.827 ;76.504.971 ;73.982.149 ;386.694.620
